StartCP,FinishCP,Distance,Height_Gain
CP1,CP2,1.997,47.820038
CP1,CP3,3.288,81.472595
CP1,CP4,10.511,260.00488
CP1,CP5,5.531,82.841
CP1,CP6,4.331,47.787582
CP1,CP7,0.458,1.0333252
CP1,E1,0.956,32.138275
CP1,E10U,2.758,107.77533
CP1,E2R,3.405,135.88821
CP1,E3,3.515,5.1418915
CP1,E4R,5.317,87.27507
CP1,E5,5.216,48.097046
CP1,E6,7.476,84.72043
CP1,E7U,10.038,215.43356
CP1,E8,9.48,110.054245
CP1,E9U,3.194,46.693512
CP1,Finish,1.528,7.3472595
CP1,Start,4.965,81.472595
CP2,CP1,1.997,23.68158
CP2,CP3,1.737,42.677673
CP2,CP4,8.96,221.20996
CP2,CP5,3.98,44.04608
CP2,CP6,2.511,5.9979706
CP2,CP7,2.455,24.714905
CP2,E1,2.953,55.819855
CP2,E10U,4.755,131.45691
CP2,E2R,1.854,97.09329
CP2,E3,5.511,28.823471
CP2,E4R,3.496,45.48546
CP2,E5,3.396,6.307434
CP2,E6,5.925,45.925507
CP2,E7U,8.487,176.63864
CP2,E8,7.66,68.26463
CP2,E9U,1.373,4.9039
CP2,Finish,3.524,31.02884
CP2,Start,3.414,42.677673
CP3,CP1,3.288,27.417755
CP3,CP2,1.737,12.7612915
CP3,CP4,7.223,178.53229
CP3,CP5,2.243,1.3684082
CP3,CP6,4.071,12.728836
CP3,CP7,3.746,28.45108
CP3,E1,4.244,59.55603
CP3,E10U,6.046,135.19308
CP3,E2R,2.86,89.77756
CP3,E3,6.802,32.559647
CP3,E4R,5.056,52.216324
CP3,E5,4.956,13.0383
CP3,E6,4.188,3.2478333
CP3,E7U,6.751,133.96097
CP3,E8,6.352,17.950798
CP3,E9U,2.934,11.634766
CP3,Finish,4.816,34.765015
CP3,Start,1.677,0.0
CP4,CP1,10.511,256.02798
CP4,CP2,8.96,241.37152
CP4,CP3,7.223,228.61023
CP4,CP5,4.98,139.13629
CP4,CP6,6.527,112.468346
CP4,CP7,10.969,257.0613
CP4,E1,11.467,288.16626
CP4,E10U,12.333,345.1745
CP4,E2R,10.083,318.3878
CP4,E3,8.692,123.902626
CP4,E4R,7.062,140.22617
CP4,E5,5.642,56.940773
CP4,E6,3.035,37.003403
CP4,E7U,0.473,0.0
CP4,E8,2.035,5.496788
CP4,E9U,7.665,186.07724
CP4,Finish,10.643,227.28336
CP4,Start,5.546,168.77472
CP5,CP1,5.531,116.89169
CP5,CP2,3.98,102.23523
CP5,CP3,2.243,89.47394
CP5,CP4,4.98,177.16388
CP5,CP6,5.632,105.74305
CP5,CP7,5.989,117.92502
CP5,E1,6.487,149.02997
CP5,E10U,8.289,224.66702
CP5,E2R,5.103,179.2515
CP5,E3,7.797,117.17733
CP5,E4R,6.167,133.50089
CP5,E5,4.746,50.215477
CP5,E6,1.945,1.879425
CP5,E7U,4.507,132.59256
CP5,E8,4.109,16.58239
CP5,E9U,5.177,101.1087
CP5,Finish,7.059,124.23895
CP5,Start,0.566,29.638428
CP6,CP1,4.331,162.80408
CP6,CP2,2.511,145.15292
CP6,CP3,4.071,181.80017
CP6,CP4,6.527,231.46173
CP6,CP5,5.632,186.70886
CP6,CP7,4.789,163.8374
CP6,E1,5.287,194.94235
CP6,E10U,7.089,270.5794
CP6,E2R,4.189,236.21579
CP6,E3,4.698,79.41576
CP6,E4R,0.985,39.487488
CP6,E5,0.885,0.3094635
CP6,E6,4.09,90.24265
CP6,E7U,6.055,186.89041
CP6,E8,5.149,62.266663
CP6,E9U,1.137,73.60889
CP6,Finish,5.859,170.15134
CP6,Start,5.748,181.80017
CP7,CP1,0.458,12.316406
CP7,CP2,2.455,60.136444
CP7,CP3,3.746,93.789
CP7,CP4,10.969,272.3213
CP7,CP5,5.989,95.15741
CP7,CP6,4.789,60.10399
CP7,E1,0.533,32.862335
CP7,E10U,2.3,106.742004
CP7,E2R,3.864,148.20462
CP7,E3,3.056,4.1085663
CP7,E4R,5.775,99.59148
CP7,E5,5.675,60.413452
CP7,E6,7.934,97.036835
CP7,E7U,10.496,227.74997
CP7,E8,9.938,122.37065
CP7,E9U,3.652,59.00992
CP7,Finish,1.07,6.3139343
CP7,Start,5.423,93.789
E1,CP1,0.956,11.151825
E1,CP2,2.953,58.971863
E1,CP3,4.244,92.62442
E1,CP4,11.467,271.1567
E1,CP5,6.487,93.99283
E1,CP6,5.287,58.939407
E1,CP7,0.533,0.59280396
E1,E10U,2.794,106.742004
E1,E2R,4.362,147.04004
E1,E3,3.551,4.1085663
E1,E4R,6.273,98.426895
E1,E5,6.173,59.24887
E1,E6,8.432,95.87225
E1,E7U,10.994,226.58539
E1,E8,10.436,121.20607
E1,E9U,4.15,57.845337
E1,Finish,1.564,6.3139343
E1,Start,5.921,92.62442
E10U,CP1,2.758,58.14096
E10U,CP2,4.755,105.961
E10U,CP3,6.046,139.61356
E10U,CP4,12.333,299.51703
E10U,CP5,8.289,140.98196
E10U,CP6,7.089,105.92854
E10U,CP7,2.3,45.824554
E10U,E1,2.794,78.094086
E10U,E2R,6.163,194.02917
E10U,E3,3.692,4.733795
E10U,E4R,8.074,145.41603
E10U,E5,7.454,80.5092
E10U,E6,9.896,158.29794
E10U,E7U,11.861,254.94571
E10U,E8,10.955,130.32196
E10U,E9U,5.952,104.83447
E10U,Finish,1.7,4.4695435
E10U,Start,7.723,139.61356
E2R,CP1,3.405,16.143158
E2R,CP2,1.854,1.4866943
E2R,CP3,2.86,24.087341
E2R,CP4,10.083,202.61963
E2R,CP5,5.103,25.45575
E2R,CP6,4.189,1.4542389
E2R,CP7,3.864,17.176483
E2R,E1,4.362,48.281433
E2R,E10U,6.163,123.91849
E2R,E3,6.92,21.28505
E2R,E4R,5.174,40.941727
E2R,E5,5.074,1.7637024
E2R,E6,7.048,27.335175
E2R,E7U,9.61,158.04831
E2R,E8,9.212,42.03814
E2R,E9U,3.051,0.36016846
E2R,Finish,4.933,23.490417
E2R,Start,4.537,24.087341
E3,CP1,3.515,171.75548
E3,CP2,5.511,219.57552
E3,CP3,6.802,253.22807
E3,CP4,8.692,294.4931
E3,CP5,7.797,249.74023
E3,CP6,4.698,131.01285
E3,CP7,3.056,159.43907
E3,E1,3.551,191.7086
E3,E10U,3.692,220.98175
E3,E2R,6.92,307.64368
E3,E4R,5.233,158.77068
E3,E5,3.812,75.485275
E3,E6,6.254,153.27402
E3,E7U,8.22,249.92178
E3,E8,7.314,125.298035
E3,E9U,5.835,204.62173
E3,Finish,2.002,103.09059
E3,Start,8.363,279.37866
E4R,CP1,5.317,185.5064
E4R,CP2,3.496,167.85524
E4R,CP3,5.056,204.50249
E4R,CP4,7.062,242.43439
E4R,CP5,6.167,197.68152
E4R,CP6,0.985,22.702316
E4R,CP7,5.775,186.53972
E4R,E1,6.273,217.64467
E4R,E10U,8.074,293.28174
E4R,E2R,5.174,258.9181
E4R,E3,5.233,90.38841
E4R,E5,1.42,11.28212
E4R,E6,4.625,101.21531
E4R,E7U,6.59,197.86307
E4R,E8,5.684,73.23932
E4R,E9U,2.123,96.3112
E4R,Finish,6.844,192.85365
E4R,Start,6.734,204.50249
E5,CP1,5.216,218.33165
E5,CP2,3.396,200.6805
E5,CP3,4.956,237.32774
E5,CP4,5.642,231.15228
E5,CP5,4.746,186.39938
E5,CP6,0.885,55.527573
E5,CP7,5.675,219.36497
E5,E1,6.173,250.46992
E5,E10U,7.454,300.37817
E5,E2R,5.074,291.74335
E5,E3,3.812,79.10629
E5,E4R,1.42,83.2854
E5,E6,3.204,89.93319
E5,E7U,5.169,186.58096
E5,E8,4.264,61.9572
E5,E9U,2.023,129.13646
E5,Finish,5.764,182.48701
E5,Start,5.312,216.03781
E6,CP1,7.476,219.02458
E6,CP2,5.925,204.36812
E6,CP3,4.188,191.60683
E6,CP4,3.035,175.28445
E6,CP5,1.945,102.13289
E6,CP6,4.09,109.53031
E6,CP7,7.934,220.0579
E6,E1,8.432,251.16286
E6,E10U,9.896,342.23648
E6,E2R,7.048,281.3844
E6,E3,6.254,120.96459
E6,E4R,4.625,137.28815
E6,E5,3.204,54.00274
E6,E7U,2.562,130.71313
E6,E8,2.164,14.702965
E6,E9U,5.227,183.13919
E6,Finish,8.206,224.3453
E6,Start,2.511,131.77132
E7U,CP1,10.038,256.02798
E7U,CP2,8.487,241.37152
E7U,CP3,6.751,228.61023
E7U,CP4,0.473,44.57132
E7U,CP5,4.507,139.13629
E7U,CP6,6.055,112.468346
E7U,CP7,10.496,257.0613
E7U,E1,10.994,288.16626
E7U,E10U,11.861,345.1745
E7U,E2R,9.61,318.3878
E7U,E3,8.22,123.902626
E7U,E4R,6.59,140.22617
E7U,E5,5.169,56.940773
E7U,E6,2.562,37.003403
E7U,E8,1.562,5.496788
E7U,E9U,7.192,186.07724
E7U,Finish,10.171,227.28336
