StartCP,FinishCP,Distance,Height_Gain
CP1,CP2,1.755,59
CP1,CP3,2.729,97
CP1,CP4,6.986,197
CP1,CP5,3.443,98
CP1,CP6,2.036,9
CP1,CP7,0.765,4
CP1,E1,0.747,69
CP1,E10U,1.894,83
CP1,E2R,3.42,133
CP1,E3,2.678,41
CP1,E4R,1.315,2
CP1,E5,2.923,19
CP1,E6,4.912,88
CP1,E7U,5.696,184
CP1,E8,6.911,91
CP1,E9U,1.459,25
CP1,Finish,1.556,44
CP1,Start,3.194,105
CP2,CP1,1.755,39
CP2,CP3,1.319,39
CP2,CP4,6.364,99
CP2,CP5,3.251,20
CP2,CP6,2.316,5
CP2,CP7,2.308,36
CP2,E1,2.186,103
CP2,E10U,2.545,90
CP2,E2R,1.715,95
CP2,E3,4.36,36
CP2,E4R,2.203,25
CP2,E5,3.254,5
CP2,E6,5.023,14
CP2,E7U,4.871,96
CP2,E8,7.022,17
CP2,E9U,1.117,1
CP2,Finish,3.238,39
CP2,Start,2.493,9
CP3,CP1,2.729,48
CP3,CP2,1.319,10
CP3,CP4,5.14,64
CP3,CP5,2.464,11
CP3,CP6,1.981,1
CP3,CP7,3.211,54
CP3,E1,3.16,113
CP3,E10U,3.831,94
CP3,E2R,2.872,89
CP3,E3,5.136,54
CP3,E4R,2.425,24
CP3,E5,2.919,1
CP3,E6,4.236,6
CP3,E7U,3.647,61
CP3,E8,6.235,9
CP3,E9U,1.269,1
CP3,Finish,4.212,48
CP3,Start,1.706,0
CP4,CP1,6.986,197
CP4,CP2,6.364,119
CP4,CP3,5.14,113
CP4,CP5,3.542,64
CP4,CP6,5.174,85
CP4,CP7,6.942,180
CP4,E1,7.615,267
CP4,E10U,8.624,279
CP4,E2R,7.909,198
CP4,E3,7.892,98
CP4,E4R,5.875,160
CP4,E5,4.357,40
CP4,E6,2.308,28
CP4,E7U,1.492,52
CP4,E8,1.828,2
CP4,E9U,6.04,146
CP4,Finish,7.621,162
CP4,Start,4.353,107
CP5,CP1,3.443,132
CP5,CP2,3.251,74
CP5,CP3,2.464,94
CP5,CP4,3.542,98
CP5,CP6,1.631,20
CP5,CP7,3.399,115
CP5,E1,4.072,202
CP5,E10U,5.081,214
CP5,E2R,4.967,169
CP5,E3,4.918,68
CP5,E4R,2.332,96
CP5,E5,1.631,13
CP5,E6,1.829,20
CP5,E7U,2.697,106
CP5,E8,3.828,23
CP5,E9U,2.497,81
CP5,Finish,4.253,109
CP5,Start,0.81,42
CP6,CP1,2.036,123
CP6,CP2,2.316,139
CP6,CP3,1.981,164
CP6,CP4,5.174,199
CP6,CP5,1.631,100
CP6,CP7,1.992,106
CP6,E1,2.665,193
CP6,E10U,3.674,205
CP6,E2R,4.032,234
CP6,E3,3.511,59
CP6,E4R,0.925,88
CP6,E5,0.938,0
CP6,E6,3.1,90
CP6,E7U,3.884,186
CP6,E8,4.997,91
CP6,E9U,1.241,96
CP6,Finish,2.846,100
CP6,Start,1.382,107
CP7,CP1,0.765,33
CP7,CP2,2.308,85
CP7,CP3,3.211,132
CP7,CP4,6.881,233
CP7,CP5,3.338,134
CP7,CP6,1.931,46
CP7,E1,1.045,95
CP7,E10U,1.937,97
CP7,E2R,3.933,178
CP7,E3,2.193,8
CP7,E4R,1.005,9
CP7,E5,2.731,26
CP7,E6,4.807,125
CP7,E7U,5.591,220
CP7,E8,6.806,127
CP7,E9U,2.026,61
CP7,Finish,1.149,21
CP7,Start,3.089,141
E1,CP1,0.747,3
E1,CP2,2.186,57
E1,CP3,3.16,96
E1,CP4,7.615,201
E1,CP5,4.072,102
E1,CP6,2.665,13
E1,CP7,1.045,0
E1,E10U,1.147,14
E1,E2R,3.371,133
E1,E3,2.445,5
E1,E4R,1.851,3
E1,E5,3.459,21
E1,E6,5.541,92
E1,E7U,6.325,188
E1,E8,7.54,95
E1,E9U,1.89,24
E1,Finish,1.323,8
E1,Start,3.73,55
E10U,CP1,1.894,35
E10U,CP2,2.545,62
E10U,CP3,3.831,95
E10U,CP4,8.624,231
E10U,CP5,5.081,132
E10U,CP6,3.674,43
E10U,CP7,1.937,20
E10U,E1,1.147,32
E10U,E2R,2.845,132
E10U,E3,2.831,6
E10U,E4R,2.86,33
E10U,E5,4.468,51
E10U,E6,6.55,122
E10U,E7U,7.334,218
E10U,E8,8.549,125
E10U,E9U,3.037,55
E10U,Finish,1.713,5
E10U,Start,4.832,139
E2R,CP1,3.42,18
E2R,CP2,1.715,0
E2R,CP3,2.872,23
E2R,CP4,7.909,83
E2R,CP5,4.967,20
E2R,CP6,4.032,5
E2R,CP7,3.933,34
E2R,E1,3.371,84
E2R,E10U,2.845,65
E2R,E3,5.56,83
E2R,E4R,3.893,20
E2R,E5,4.97,5
E2R,E6,6.739,14
E2R,E7U,6.416,80
E2R,E8,8.738,17
E2R,E9U,2.833,1
E2R,Finish,4.442,82
E2R,Start,4.209,9
E3,CP1,2.678,212
E3,CP2,4.36,227
E3,CP3,5.136,274
E3,CP4,7.892,269
E3,CP5,4.918,205
E3,CP6,3.511,116
E3,CP7,2.193,150
E3,E1,2.445,242
E3,E10U,2.846,224
E3,E2R,5.592,368
E3,E4R,2.93,151
E3,E5,3.725,60
E3,E6,5.721,135
E3,E7U,7.171,291
E3,E8,7.413,104
E3,E9U,3.951,203
E3,Finish,1.14,105
E3,Start,4.669,211
E4R,CP1,1.315,65
E4R,CP2,2.203,108
E4R,CP3,2.425,136
E4R,CP4,5.875,223
E4R,CP5,2.332,125
E4R,CP6,0.925,37
E4R,CP7,1.005,43
E4R,E1,1.851,132
E4R,E10U,2.86,144
E4R,E2R,3.893,198
E4R,E3,2.93,43
E4R,E5,1.725,19
E4R,E6,3.801,115
E4R,E7U,4.585,211
E4R,E8,5.8,118
E4R,E9U,1.24,65
E4R,Finish,2.078,58
E4R,Start,2.083,132
E5,CP1,2.953,188
E5,CP2,3.254,200
E5,CP3,2.919,225
E5,CP4,4.357,215
E5,CP5,1.631,154
E5,CP6,0.938,61
E5,CP7,2.754,158
E5,E1,3.459,262
E5,E10U,4.468,274
E5,E2R,4.97,295
E5,E3,3.725,64
E5,E4R,1.725,131
E5,E6,2.186,78
E5,E7U,3.884,240
E5,E8,4.127,87
E5,E9U,2.179,157
E5,Finish,3.38,124
E5,Start,1.419,166
E6,CP1,4.912,224
E6,CP2,5.023,170
E6,CP3,4.236,191
E6,CP4,2.308,164
E6,CP5,1.829,122
E6,CP6,3.1,112
E6,CP7,4.824,195
E6,E1,5.541,294
E6,E10U,6.55,306
E6,E2R,6.739,265
E6,E3,5.721,100
E6,E4R,3.801,188
E6,E5,2.186,39
E6,E7U,2.334,195
E6,E8,2.045,9
E6,E9U,4.03,191
E6,Finish,5.45,161
E6,Start,2.562,136
E7U,CP1,5.696,135
E7U,CP2,4.871,67
E7U,CP3,3.647,61
E7U,CP4,1.492,3
E7U,CP5,2.697,23
E7U,CP6,3.884,23
E7U,CP7,5.652,118
E7U,E1,6.325,205
E7U,E10U,7.334,217
E7U,E2R,6.416,146
E7U,E3,7.171,71
E7U,E4R,4.585,99
E7U,E5,3.884,16
E7U,E6,2.334,10
E7U,E8,3.094,23
E7U,E9U,4.662,58
E7U,Finish,6.506,112
E7U,Start,2.915,39
E8,CP1,6.911,275
E8,CP2,7.022,221
E8,CP3,6.235,242
E8,CP4,1.828,186
E8,CP5,3.828,173
E8,CP6,4.997,161
E8,CP7,6.765,252
E8,E1,7.54,345
E8,E10U,8.549,357
E8,E2R,8.738,316
E8,E3,7.413,117
E8,E4R,5.8,239
E8,E5,4.127,96
E8,E6,2.045,57
E8,E7U,3.094,256
E8,E9U,6.029,242
E8,Finish,7.391,218
E8,Start,4.561,187
E9U,CP1,1.459,47
E9U,CP2,1.117,43
E9U,CP3,1.269,72
E9U,CP4,6.04,168
E9U,CP5,2.497,69
E9U,CP6,1.241,4
E9U,CP7,2.026,54
E9U,E1,1.89,112
E9U,E10U,3.037,125
E9U,E2R,2.833,138
E9U,E3,3.951,54
E9U,E4R,1.24,24
E9U,E5,2.179,4
E9U,E6,4.03,77
E9U,E7U,4.662,129
E9U,E8,6.029,80
E9U,Finish,2.942,47
E9U,Start,1.839,32
Finish,CP1,1.556,111
Finish,CP2,3.238,126
Finish,CP3,4.212,164
Finish,CP4,7.621,229
Finish,CP5,4.253,142
Finish,CP6,2.846,53
Finish,CP7,1.149,59
Finish,E1,1.323,141
Finish,E10U,1.713,120
Finish,E2R,4.442,264
Finish,E3,1.14,1
Finish,E4R,2.078,62
Finish,E5,3.38,16
Finish,E6,5.45,92
Finish,E7U,6.506,228
Finish,E8,7.391,101
Finish,E9U,2.942,92
Finish,Start,4.004,148
Start,CP1,3.194,116
Start,CP2,2.493,40
Start,CP3,1.706,60
Start,CP4,4.353,118
Start,CP5,0.81,19
Start,CP6,1.382,4
Start,CP7,3.15,99
Start,E1,3.73,132
Start,E10U,4.832,198
Start,E2R,4.209,135
Start,E3,4.669,51
Start,E4R,2.083,80
Start,E5,1.419,2
Start,E6,2.562,11
Start,E7U,2.915,99
Start,E8,4.561,14
Start,E9U,1.839,21
Start,Finish,4.004,92
