StartCP,FinishCP,Distance,Height_Gain
CP1,CP2,1.783,55.27777
CP1,CP3,3.341,82.963715
CP1,CP4,7.773,159.40817
CP1,CP5,4.118,72.71231
CP1,CP6,2.444,25.35817
CP1,CP7,0.71,5.475128
CP1,E1,0.891,82.48721
CP1,E10U,2.998,115.4476
CP1,E2R,3.45,137.61319
CP1,E3,3.757,8.5186
CP1,E4R,2.533,50.911987
CP1,E5,3.322,23.82573
CP1,E6,5.831,63.880234
CP1,E7U,6.16,150.08368
CP1,E8,7.347,62.83567
CP1,E9U,1.463,27.346375
CP1,Finish,1.778,8.617828
CP1,Start,3.35,63.732452
CP2,CP1,1.783,38.765198
CP2,CP3,1.344,45.252136
CP2,CP4,6.915,113.28714
CP2,CP5,3.26,28.43106
CP2,CP6,2.483,12.364349
CP2,CP7,2.177,36.539215
CP2,E1,2.224,112.071655
CP2,E10U,3.286,152.74963
CP2,E2R,1.827,100.70651
CP2,E3,5.223,36.607574
CP2,E4R,2.826,47.900192
CP2,E5,3.361,10.332123
CP2,E6,4.973,21.848373
CP2,E7U,5.302,105.52899
CP2,E8,7.036,36.507233
CP2,E9U,1.501,14.271088
CP2,Finish,3.244,36.555176
CP2,Start,2.492,18.170563
CP3,CP1,3.341,31.654236
CP3,CP2,1.344,10.285431
CP3,CP4,6.122,103.26965
CP3,CP5,2.467,12.742889
CP3,CP6,4.068,20.955276
CP3,CP7,3.739,29.687683
CP3,E1,3.624,105.81656
CP3,E10U,4.586,148.77374
CP3,E2R,2.857,92.77875
CP3,E3,6.786,27.9095
CP3,E4R,4.411,54.802063
CP3,E5,4.946,18.764313
CP3,E6,4.18,14.4661255
CP3,E7U,4.51,93.595764
CP3,E8,6.243,23.604492
CP3,E9U,2.91,11.693726
CP3,Finish,4.807,29.63382
CP3,Start,1.7,2.0881958
CP4,CP1,7.773,160.28265
CP4,CP2,6.915,130.13644
CP4,CP3,6.122,155.16562
CP4,CP5,3.655,69.142456
CP4,CP6,5.886,103.80194
CP4,CP7,8.167,163.78326
CP4,E1,8.214,233.92902
CP4,E10U,10.454,264.86438
CP4,E2R,8.979,244.59894
CP4,E3,8.476,74.092804
CP4,E4R,6.464,141.39058
CP4,E5,5.008,48.276596
CP4,E6,3.034,39.113556
CP4,E7U,1.605,74.35864
CP4,E8,2.014,5.176193
CP4,E9U,6.31,116.957275
CP4,Finish,9.234,153.2826
CP4,Start,4.512,100.27048
CP5,CP1,4.118,103.22781
CP5,CP2,3.26,75.765594
CP5,CP3,2.467,94.63623
CP5,CP4,3.655,98.52118
CP5,CP6,4.754,71.877335
CP5,CP7,4.512,99.885254
CP5,E1,4.559,176.47818
CP5,E10U,6.799,208.54407
CP5,E2R,5.324,184.754
CP5,E3,7.344,64.458694
CP5,E4R,5.161,107.540436
CP5,E5,3.876,44.059868
CP5,E6,2.112,19.304764
CP5,E7U,4.075,137.00943
CP5,E8,4.174,25.163239
CP5,E9U,2.655,56.51526
CP5,Finish,5.579,98.74765
CP5,Start,0.857,34.037354
CP6,CP1,2.444,141.5809
CP6,CP2,2.483,145.55296
CP6,CP3,4.068,189.07211
CP6,CP4,5.886,219.5512
CP6,CP5,4.754,157.82213
CP6,CP7,2.838,138.78935
CP6,E1,2.885,213.66002
CP6,E10U,5.125,245.439
CP6,E2R,4.177,243.85722
CP6,E3,4.489,45.18332
CP6,E4R,1.016,55.76529
CP6,E5,0.878,1.3122406
CP6,E6,3.434,80.21869
CP6,E7U,6.796,232.12491
CP6,E8,4.903,51.510857
CP6,E9U,2.099,119.5636
CP6,Finish,3.905,139.777
CP6,Start,3.986,149.94159
CP7,CP1,0.71,20.28421
CP7,CP2,2.177,67.94302
CP7,CP3,3.739,95.897
CP7,CP4,8.167,177.93765
CP7,CP5,4.512,84.727875
CP7,CP6,2.838,37.14969
CP7,E1,1.321,96.24234
CP7,E10U,2.288,112.63258
CP7,E2R,3.849,149.45602
CP7,E3,3.047,5.285797
CP7,E4R,2.927,65.10843
CP7,E5,3.716,36.61772
CP7,E6,6.225,77.70485
CP7,E7U,6.554,161.4898
CP7,E8,7.741,75.3021
CP7,E9U,1.857,40.343445
CP7,Finish,1.068,5.256439
CP7,Start,3.744,75.92444
E1,CP1,0.891,6.6106567
E1,CP2,2.223,52.69644
E1,CP3,3.711,78.04013
E1,CP4,8.213,157.24615
E1,CP5,4.558,70.33383
E1,CP6,2.884,21.040253
E1,CP7,1.321,5.429962
E1,E10U,2.609,78.75284
E1,E2R,3.427,134.15427
E1,E3,4.368,6.48497
E1,E4R,2.973,47.272247
E1,E5,3.762,21.043625
E1,E6,6.271,67.9146
E1,E7U,6.6,149.91489
E1,E8,7.787,57.721794
E1,E9U,1.903,24.826477
E1,Finish,2.389,7.5038757
E1,Start,3.79,60.540558
E10U,CP1,2.998,64.374435
E10U,CP2,3.286,118.44165
E10U,CP3,4.586,149.28833
E10U,CP4,10.454,213.38411
E10U,CP5,6.799,127.61868
E10U,CP6,5.125,78.654434
E10U,CP7,2.288,46.93419
E10U,E1,2.609,103.6149
E10U,E2R,3.562,188.22021
E10U,E3,3.701,1.9611053
E10U,E4R,3.942,45.49257
E10U,E5,6.003,73.50076
E10U,E6,8.512,118.54518
E10U,E7U,8.841,195.86285
E10U,E8,10.028,104.75407
E10U,E9U,4.144,83.329285
E10U,Finish,1.722,0.0
E10U,Start,6.031,117.04381
E2R,CP1,3.45,20.662048
E2R,CP2,1.827,0.098968506
E2R,CP3,2.857,27.069366
E2R,CP4,8.979,126.81293
E2R,CP5,5.324,37.349274
E2R,CP6,4.177,10.215042
E2R,CP7,3.849,17.517456
E2R,E1,3.428,92.68689
E2R,E10U,3.563,122.21091
E2R,E3,6.896,18.068176
E2R,E4R,4.52,47.192184
E2R,E5,5.055,4.7333527
E2R,E6,7.037,39.447662
E2R,E7U,7.366,115.51541
E2R,E8,9.1,35.83184
E2R,E9U,3.196,12.115875
E2R,Finish,4.917,18.135773
E2R,Start,4.556,27.056274
E3,CP1,3.757,180.01196
E3,CP2,5.223,224.17006
E3,CP3,6.786,250.37744
E3,CP4,8.476,244.55388
E3,CP5,7.344,205.67398
E3,CP6,4.489,99.53242
E3,CP7,3.047,161.56956
E3,E1,4.368,254.07834
E3,E10U,3.701,224.0546
E3,E2R,6.896,306.19476
E3,E4R,4.575,154.49199
E3,E5,3.611,44.118767
E3,E6,6.024,108.53528
E3,E7U,9.6,314.08798
E3,E8,7.34,139.92166
E3,E9U,4.903,196.392
E3,Finish,1.979,97.27347
E3,Start,6.79,231.72116
E4R,CP1,2.533,152.38554
E4R,CP2,2.826,166.41864
E4R,CP3,4.411,208.14958
E4R,CP4,6.464,242.35323
E4R,CP5,5.161,179.00809
E4R,CP6,1.016,40.874084
E4R,CP7,2.927,151.97224
E4R,E1,2.974,224.59042
E4R,E10U,3.942,198.16586
E4R,E2R,4.52,265.9253
E4R,E3,4.575,85.28673
E4R,E5,1.456,27.850098
E4R,E6,4.012,98.30952
E4R,E7U,7.203,252.00565
E4R,E8,5.481,74.938034
E4R,E9U,2.506,141.36992
E4R,Finish,2.596,88.246765
E4R,Start,4.393,169.97618
E5,CP1,3.322,197.62381
E5,CP2,3.361,200.98422
E5,CP3,4.946,244.50424
E5,CP4,5.008,222.09409
E5,CP5,3.876,188.99564
E5,CP6,0.878,58.989517
E5,CP7,3.716,195.39458
E5,E1,3.763,270.7614
E5,E10U,6.003,298.26257
E5,E2R,5.055,295.93347
E5,E3,3.611,47.78073
